id,region,year,manufacturer,condition,cylinders,fuel,odometer,transmission,drive,size,type,paint_color,price
123,central NJ,-1.572486828284023,chevrolet,fair,8 cylinders,gas,-1.6675738195445298,automatic,rwd,full-size,truck,black,29532
124,vermont,-0.7495288718981186,chevrolet,good,8 cylinders,gas,1.0375214794864254,automatic,rwd,sub-compact,truck,black,3288
125,orange county,0.3899513754054414,ford,excellent,6 cylinders,gas,0.07705167101354646,automatic,4wd,compact,offroad,black,17791
126,flagstaff / sedona,0.13673354267131696,toyota,salvage,4 cylinders,gas,1.5617799598282,manual,fwd,compact,sedan,green,1161
127,central NJ,-1.6357912864675541,ram,excellent,8 cylinders,other,0.5831494750591314,automatic,4wd,full-size,truck,grey,22234
128,high rockies,0.32664691722191025,ford,excellent,4 cylinders,gas,-0.6245693174015372,automatic,rwd,mid-size,SUV,silver,50072
129,la crosse,0.26334245903837916,ford,good,8 cylinders,gas,-0.6986155012944746,automatic,fwd,full-size,truck,white,6278
130,orlando,-0.8761377882651807,chevrolet,excellent,6 cylinders,gas,0.5671701090443275,manual,fwd,full-size,sedan,blue,6008
131,worcester / central MA,0.3899513754054414,bmw,excellent,6 cylinders,gas,-0.9558410206777501,automatic,rwd,mid-size,SUV,black,32528
132,los angeles,0.4532558335889725,audi,excellent,4 cylinders,gas,0.5313391285307093,manual,fwd,mid-size,SUV,black,12681
133,baltimore,0.3899513754054414,ford,excellent,4 cylinders,gas,-0.749631106867663,automatic,fwd,full-size,SUV,black,24342
134,western massachusetts,0.5798647499560347,jeep,excellent,6 cylinders,gas,-1.7011896710127097,manual,4wd,full-size,SUV,blue,18140
135,tucson,0.5165602917725036,ram,excellent,10 cylinders,other,-0.6876582217414663,manual,4wd,full-size,truck,black,21581
136,syracuse,0.7064736663230969,chevrolet,excellent,4 cylinders,gas,0.1864215539593147,automatic,4wd,full-size,truck,white,17793
137,central NJ,0.32664691722191025,ford,excellent,6 cylinders,gas,-0.24471695956391545,automatic,fwd,mid-size,sedan,black,7533
138,pittsburgh,0.3899513754054414,chevrolet,excellent,6 cylinders,diesel,0.04127141864600695,automatic,4wd,full-size,pickup,black,13083
139,klamath falls,0.07342908448778585,bmw,excellent,6 cylinders,gas,0.40418057569332877,manual,rwd,mid-size,convertible,silver,10849
140,florence / muscle shoals,0.13673354267131696,toyota,fair,4 cylinders,gas,0.9504888901973301,automatic,fwd,mid-size,other,black,3255
141,rhode island,0.7064736663230969,jeep,like new,6 cylinders,gas,-0.18289625887595493,automatic,4wd,full-size,SUV,silver,20732
142,milwaukee,0.010124626304254735,chevrolet,excellent,8 cylinders,gas,0.6271307777094008,automatic,rwd,full-size,SUV,silver,3226
143,chattanooga,-0.2430932064298697,chrysler,excellent,6 cylinders,other,-0.019247259625932524,manual,fwd,full-size,mini-van,brown,4933
144,orange county,-0.11648429006280749,toyota,good,6 cylinders,gas,-0.25722990226333853,automatic,fwd,full-size,coupe,white,5494
145,las vegas,0.3899513754054414,toyota,excellent,6 cylinders,gas,-1.340140545988275,manual,fwd,mid-size,SUV,black,29437
146,huntsville / decatur,0.26334245903837916,toyota,good,4 cylinders,gas,0.27957533954191166,automatic,fwd,full-size,SUV,black,5735
147,humboldt county,0.3899513754054414,ford,excellent,8 cylinders,gas,-1.696083037640783,automatic,4wd,mid-size,truck,black,18419
148,western massachusetts,-0.36970212279693193,ford,fair,6 cylinders,gas,0.6943624806457606,manual,fwd,full-size,other,silver,5568
149,medford-ashland,0.010124626304254735,ram,excellent,6 cylinders,gas,-0.15019351403719244,automatic,4wd,full-size,truck,grey,36197
150,des moines,-0.36970212279693193,nissan,good,6 cylinders,gas,1.1048546387149425,automatic,fwd,mid-size,SUV,blue,5339
151,new york city,0.3899513754054414,mitsubishi,excellent,4 cylinders,gas,0.030601598587444833,automatic,fwd,mid-size,sedan,red,6472
152,rochester,0.6431692081395658,jeep,fair,6 cylinders,gas,-1.8520213586868364,manual,4wd,mid-size,SUV,black,18664
153,northwest CT,0.32664691722191025,chevrolet,excellent,4 cylinders,gas,-0.21115183624181436,automatic,4wd,full-size,sedan,green,6168
154,madison,0.5798647499560347,bmw,like new,6 cylinders,diesel,-1.7967784076070863,automatic,4wd,full-size,SUV,black,37070
155,northwest CT,-2.078922493752272,chevrolet,excellent,6 cylinders,gas,-1.481147882705152,manual,rwd,full-size,coupe,white,28109
156,wyoming,0.010124626304254735,toyota,new,6 cylinders,gas,0.9813316030132053,manual,fwd,full-size,truck,silver,22855
157,youngstown,0.4532558335889725,mazda,excellent,6 cylinders,gas,-0.08414546784267007,automatic,fwd,compact,sedan,blue,8146
158,western slope,0.32664691722191025,bmw,like new,6 cylinders,gas,-0.35444193953223485,automatic,fwd,full-size,SUV,silver,7197
159,bismarck,-1.3192689955498986,ford,fair,8 cylinders,gas,1.1422920105210543,manual,rwd,full-size,coupe,green,3559
160,maine,0.07342908448778585,jeep,excellent,6 cylinders,gas,-0.28519802013475176,automatic,4wd,compact,SUV,white,8589
161,albany,0.32664691722191025,ford,excellent,6 cylinders,gas,-0.8690958908831009,automatic,fwd,mid-size,SUV,black,21725
162,orange county,0.3899513754054414,volkswagen,like new,4 cylinders,gas,-0.31516144508526217,automatic,fwd,compact,sedan,white,7000
163,sarasota-bradenton,0.32664691722191025,honda,like new,4 cylinders,gas,-0.07357710407626544,automatic,fwd,compact,sedan,black,13342
164,fargo / moorhead,-0.5596154973475252,ford,like new,6 cylinders,gas,0.8312270187662071,manual,rwd,full-size,truck,black,4653
165,rochester,0.5165602917725036,honda,like new,6 cylinders,gas,-0.7381158177077886,automatic,fwd,full-size,SUV,blue,20326
166,south jersey,-0.05317983187927637,ford,like new,4 cylinders,gas,3.7501752722831134,manual,4wd,mid-size,SUV,green,3984
167,omaha / council bluffs,0.20003800085484805,jeep,excellent,6 cylinders,gas,0.18916087384756677,automatic,4wd,mid-size,pickup,black,16450
168,tucson,0.26334245903837916,hyundai,excellent,6 cylinders,gas,-0.3889539882478058,automatic,fwd,full-size,sedan,black,8708
169,flagstaff / sedona,-1.002746704632243,ford,good,8 cylinders,gas,-0.23666809371942168,manual,rwd,full-size,pickup,black,14371
170,jacksonville,0.26334245903837916,ford,excellent,4 cylinders,gas,0.19147745918516265,automatic,fwd,mid-size,SUV,white,10945
171,winston-salem,-0.36970212279693193,volkswagen,good,4 cylinders,gas,1.443126826150022,manual,fwd,full-size,coupe,silver,5026
172,eugene,-0.11648429006280749,hyundai,excellent,6 cylinders,gas,2.1731724857512273,automatic,4wd,full-size,SUV,black,6381
173,las vegas,0.32664691722191025,bmw,excellent,6 cylinders,gas,-0.21495644719772,automatic,rwd,mid-size,coupe,silver,14364
174,jersey shore,0.20003800085484805,volkswagen,excellent,4 cylinders,gas,-0.35785763470153686,automatic,fwd,mid-size,sedan,silver,4709
175,colorado springs,0.4532558335889725,kia,good,4 cylinders,gas,0.8875521702956372,automatic,fwd,mid-size,SUV,silver,5456
176,flint,-1.1293556209993052,gmc,fair,6 cylinders,gas,0.8328672288227531,manual,4wd,full-size,truck,green,1395
177,little rock,-1.3192689955498986,ford,fair,8 cylinders,gas,-0.5760563003682334,manual,rwd,full-size,truck,red,13194
178,rochester,0.5165602917725036,jeep,like new,6 cylinders,diesel,-0.2532561974871704,automatic,4wd,full-size,SUV,black,27672
179,oklahoma city,0.26334245903837916,honda,good,6 cylinders,gas,-1.2682587629946973,automatic,rwd,full-size,sedan,white,16498
180,baltimore,0.3899513754054414,hyundai,excellent,4 cylinders,gas,0.0947557939950275,automatic,fwd,full-size,sedan,black,5004
181,pittsburgh,0.26334245903837916,chevrolet,excellent,8 cylinders,diesel,-0.3444315853726964,automatic,4wd,full-size,truck,white,32445
182,philadelphia,0.26334245903837916,volkswagen,excellent,4 cylinders,gas,-0.31355505379276866,automatic,fwd,compact,sedan,black,5773
183,knoxville,0.13673354267131696,bmw,like new,6 cylinders,gas,-0.5336475702464049,automatic,fwd,mid-size,sedan,blue,16234
184,boulder,-1.2559645373663675,bmw,excellent,6 cylinders,gas,0.3983975670403522,manual,rwd,mid-size,convertible,silver,5397
185,rockford,0.13673354267131696,buick,excellent,4 cylinders,gas,0.6234276230456527,automatic,4wd,mid-size,SUV,red,26882
186,knoxville,0.20003800085484805,ford,excellent,8 cylinders,diesel,0.1782205036765847,automatic,4wd,full-size,SUV,black,6462
187,beaumont / port arthur,0.20003800085484805,ford,excellent,6 cylinders,gas,0.4160340524937282,automatic,4wd,full-size,truck,black,22982
188,hawaii,0.3899513754054414,volkswagen,excellent,4 cylinders,gas,-0.7175540091638717,automatic,fwd,compact,sedan,silver,18075
189,colorado springs,0.07342908448778585,nissan,excellent,4 cylinders,gas,0.9495081460398077,automatic,4wd,mid-size,SUV,silver,26809
190,albany,0.4532558335889725,chevrolet,good,4 cylinders,gas,-1.2187988205679237,automatic,fwd,full-size,SUV,black,7534
191,winchester,-3.471620573789956,dodge,good,4 cylinders,gas,-1.0444630918773128,automatic,fwd,compact,coupe,purple,1043
192,tucson,-0.433006580980463,ford,excellent,8 cylinders,gas,-0.5914269286300923,automatic,rwd,full-size,SUV,green,4701
193,reno / tahoe,0.3899513754054414,jeep,excellent,6 cylinders,gas,-0.23262675141514855,automatic,4wd,full-size,SUV,black,20640
194,duluth / superior,0.13673354267131696,bmw,excellent,8 cylinders,gas,0.906067943614378,other,4wd,full-size,SUV,blue,22648
195,milwaukee,0.32664691722191025,nissan,excellent,6 cylinders,gas,-0.12758567026809967,automatic,fwd,mid-size,sedan,blue,11018
196,south florida,-1.8890091192016785,bmw,good,8 cylinders,gas,0.17500772109159768,other,rwd,full-size,coupe,black,6201
197,rhode island,0.5165602917725036,mazda,good,4 cylinders,gas,3.2130487522193647,automatic,fwd,mid-size,sedan,green,4208
198,anchorage / mat-su,0.32664691722191025,ford,excellent,6 cylinders,gas,-0.6005241761602134,automatic,fwd,mid-size,sedan,custom,8701
199,knoxville,0.32664691722191025,chevrolet,excellent,4 cylinders,gas,0.7265917627877881,automatic,fwd,compact,SUV,black,21257
200,richmond,0.20003800085484805,hyundai,like new,4 cylinders,gas,-0.3454123295302188,automatic,fwd,sub-compact,sedan,black,4005
201,bakersfield,0.4532558335889725,gmc,good,8 cylinders,gas,-1.6555343395418416,automatic,4wd,full-size,truck,black,35433
202,las vegas,-1.1293556209993052,bmw,excellent,6 cylinders,gas,-0.5322610009202526,automatic,rwd,full-size,coupe,black,5090
203,corpus christi,0.32664691722191025,jeep,excellent,6 cylinders,gas,0.262919598246058,automatic,4wd,mid-size,truck,black,27039
204,new haven,-0.6229199555310564,buick,excellent,6 cylinders,gas,1.0155561922343301,automatic,fwd,full-size,sedan,green,3482
205,jackson,-0.433006580980463,ford,excellent,8 cylinders,gas,-0.5093149695106348,automatic,4wd,full-size,truck,black,12049
206,dayton / springfield,-1.5091823701004918,chevrolet,good,4 cylinders,gas,-0.2890702686187624,automatic,fwd,full-size,coupe,blue,14722
207,san luis obispo,0.7064736663230969,ford,good,4 cylinders,gas,-1.5407027262015955,automatic,fwd,compact,hatchback,white,12713
208,inland empire,0.13673354267131696,chevrolet,good,8 cylinders,gas,-0.39348570263084015,automatic,rwd,full-size,truck,white,21419
209,ft myers / SW florida,0.20003800085484805,toyota,excellent,4 cylinders,gas,-1.5564284514860056,automatic,fwd,mid-size,sedan,black,4201
210,san antonio,0.26334245903837916,jeep,excellent,6 cylinders,gas,-0.526072167098646,automatic,rwd,full-size,SUV,black,7317
212,billings,0.13673354267131696,jeep,good,6 cylinders,gas,0.3898076009710185,automatic,4wd,full-size,SUV,silver,4382
213,spokane / coeur d'alene,-0.3063976646134008,ram,excellent,6 cylinders,diesel,-0.4562364193302443,automatic,4wd,full-size,pickup,black,16259
214,"washington, DC",0.20003800085484805,chevrolet,excellent,4 cylinders,gas,-0.3450741418896938,automatic,fwd,mid-size,sedan,black,7539
215,chicago,0.26334245903837916,subaru,excellent,6 cylinders,gas,1.3235436764604003,automatic,4wd,mid-size,SUV,black,10050
